АР вж + АР вж,2392
АР вж + АР пл,235
АР вж + АР пт,397
АР вж + АР фсд,5298
АР вж + КР нк,591
АР окн + АР фсд,84
АР отд + АР пл,1056
АР отд + КР кл,695
АР отд + КР лс,549
АР отд + КР нк,209
АР отд + КР пр,217
АР пг + ВК тр,304
АР пг + ВК фт снт,515
АР пг + ОВ воз,459
АР пг + ОВ тр от,727
АР пл + ВК тр,1060
АР пл + ВК фт снт,1248
АР пл + КР кл,192
АР пл + ОВ воз,894
АР пл + ОВ тр от,3661
