Last X,Last Y,Name
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.194850286,8.420000006,АР ст + ЭОМ шк
2.198715617,9.439999956,АР ст + АР пл
2.200000017,9.439999956,АР ст + АР пл
2.200000017,11.39000012,АР ст + АР пл
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.289063713,11.50999977,АР ст + ЭОМ шк
2.290603498,6.309999997,АР ст + АР пл
2.299999998,9.680000011,АР дв + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.526233479,АР ст + ЭОМ шк
2.31999996,9.539926829,АР ст + ЭОМ шк
2.31999996,9.640585899,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15108752,АР ст + ЭОМ шк
2.31999996,11.15704839,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.31999996,11.17064056,АР ст + ЭОМ шк
2.359999953,8.420000006,АР ст + АР пл
2.359999953,8.420000006,АР ст + АР пл
2.359999953,8.420000006,АР ст + АР пл
2.359999953,8.420000006,АР ст + АР пл
2.359999953,8.420000006,АР ст + АР пл
2.559782762,11.10204521,АР пт + ОВ обр
2.719999999,11.10000001,АР пт + ОВ обр
2.790293091,15.69999983,АР ст + ПТ тр
2.790379122,8.299999773,АР ст + ПТ тр
2.795454626,8.520000298,АР ст + ПТ тр
2.827683349,15.50000041,АР ст + ПТ тр
2.839399312,8.54000024,АР ст + ПТ тр
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.842000344,9.965,АР пт + ЭОМ шк
2.859782762,11.10204521,АР пт + ОВ обр
3.009782762,11.10204521,АР пт + ОВ обр
3.139999999,11.10000001,АР пт + ОВ обр
3.30999996,8.420000006,АР ст + АР пл
3.319999967,7.649999913,АР ст + АР пл
3.339999873,7.649999913,АР ст + АР пл
3.339999873,7.649999913,АР ст + АР пл
3.339999873,7.649999913,АР ст + АР пл
3.339999873,7.649999913,АР ст + АР пл
3.339999873,7.649999913,АР ст + АР пл
3.340000034,32.25246267,ЭОМ св + ПТ тр
3.419999968,7.181248919,АР ст + ЭОМ шк
3.419999968,7.181248919,АР ст + ЭОМ шк
3.419999968,9.417054263,АР ст + ВК тр г
3.43999991,9.330422559,АР ст + ОВ воз г
3.48500007,7.410000052,АР ст + ЭОМ шк
3.48500007,7.410000055,АР ст + ЭОМ шк
3.48500007,7.410000062,АР ст + ЭОМ шк
3.48500007,7.410000076,АР ст + ЭОМ шк
3.48500007,7.410000084,АР ст + ЭОМ шк
3.48500007,7.410000093,АР ст + ЭОМ шк
3.48500007,7.410000102,АР ст + ЭОМ шк
3.48500007,7.410000166,АР ст + ЭОМ шк
3.48500007,7.410000187,АР ст + ЭОМ шк
3.48500007,7.410000206,АР ст + ЭОМ шк
3.502156873,7.170000142,АР ст + ЭОМ шк
3.506500192,7.306459301,АР ст + ЭОМ шк
3.506500192,7.306460722,АР ст + ЭОМ шк
3.560000143,6.899999762,АР ст + АР пл
3.560000143,6.899999762,АР ст + АР пл
3.560000143,7.278000001,АР ст + ЭОМ шк
3.560000143,7.620186013,АР ст + АР пл
3.560000143,7.620186338,АР ст + АР пл
3.560000143,7.620186338,АР ст + АР пл
3.560000143,7.620186685,АР ст + АР пл
3.560000143,7.649999913,АР ст + АР пл
3.639999911,9.332900259,АР ст + ОВ воз г
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75249991,АР ст + ЭОМ обр
3.639999911,12.75358659,АР ст + ЭОМ обр
3.639999911,12.75358659,АР ст + ЭОМ обр
3.639999911,12.75358659,АР ст + ЭОМ обр
3.639999911,12.75358659,АР ст + ЭОМ обр
3.639999911,12.75358659,АР ст + ЭОМ обр
3.660000144,9.406262007,АР ст + ВК тр г
3.685857868,10.19559044,АР пл + ОВ воз в
3.68614248,10.30999976,АР пл + ОВ воз в
3.711943343,11.1600002,АР ст + ВК обр
3.728728884,10.9076563,АР пл + ОВ воз в
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
3.875974632,11.14000026,АР ст + ОВ воз г
4.100510643,10.32519964,АР пл + ВК тр в
4.106905073,10.31542398,АР пт + ВК тр в
4.107113154,10.91702443,АР пл + ОВ воз в
4.134974328,10.69349131,АР пл + ОВ воз в
4.189547412,10.20171567,АР пл + ОВ воз в
4.18999977,8.403283564,АР ст + АР пл
4.259634473,10.74132576,АР ст + ОВ воз г
4.320197056,10.03988571,АР ст + ОВ воз г
4.320197056,10.03988571,АР ст + ОВ воз г
4.320197056,10.03988571,АР ст + ОВ воз г
4.320197056,10.03988571,АР ст + ОВ воз г
4.320197056,10.03988571,АР ст + ОВ воз г
4.320197056,10.03988571,АР ст + ОВ воз г
4.3206242,9.860000482,АР ст + АР пл
4.338377923,11.94932397,АР ст + АР пл
4.354325395,10.8900004,АР ст + АР пл
4.453561025,6.659999876,АР ст + АР пл
4.579999802,8.126945806,АР ст + ОВ воз в
4.590000064,-0.219999971,АР ст + АР пл
4.599999744,8.146715524,АР пл + ОВ воз в
4.682666476,9.84000054,АР ст + АР пл
4.790000066,1.120000096,КР ст + КР пр
4.909999718,0.891873347,АР ст + АР пт
4.909999718,0.891873347,АР ст + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.180000098,8.064142076,СС кк + АР ст
5.20000004,8.064142076,СС кк + АР ст
5.20000004,8.064142076,СС кк + АР ст
5.20000004,8.064142076,СС кк + АР ст
5.20000004,8.064142076,СС кк + АР ст
5.20000004,8.064142076,СС кк + АР ст
5.20000004,8.064142076,СС кк + АР ст
5.233288848,-6.200000047,АР ст + ВК тр г
5.273063234,12.74103412,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.275209289,12.74176261,АР пт + ЭОМ шк
5.298350349,-6.60000005,АР ст + ВК тр г
5.444444301,6.69999976,АР ст + ЭОМ шк
5.444444301,6.69999976,АР ст + ЭОМ шк
5.446923041,14.63000002,АР ст + АР пл
5.456921357,14.63000002,АР ст + АР пл
